title,text,date,fake_or_factual
"Experts Claim Earth's Atmosphere Contains Hidden Creatures","Researchers said no evidence supports the extraordinary claim.",18-May-17,Fake News
"U.S. Manufacturing Output Rises in April","Analysts attributed the increase to stronger industrial demand.",06-Apr-17,Factual News
"New Study Says Oceans Are Draining into Space","Scientists said the idea is physically impossible.",24-Mar-17,Fake News
"Federal Court Upholds Key Environmental Rules","Officials praised the ruling as a major victory.",12-Jan-17,Factual News
"Experts Claim Earth's Core Is Cooling Faster Than Expected","Geophysicists said the claim is unsupported by data.",06-Jun-15,Fake News
"U.S. Retail Sales Rise in October","Analysts attributed the increase to strong consumer spending.",22-Oct-16,Factual News
"New Report Says Volcanoes Are Artificial Structures","Geologists rejected the theory as pure fiction.",21-Oct-17,Fake News
"Federal Agencies Release Updated Climate Assessment","Officials highlighted long-term environmental risks.",29-Jun-17,Factual News
"Experts Claim Earth's Atmosphere Is Shrinking at Extreme Speed","Researchers said the claim is exaggerated and misleading.",30-Jun-15,Fake News
"U.S. Job Growth Remains Strong in September","Economists reported gains across multiple sectors.",16-Sep-15,Factual News
"New Study Says Humans Can Control Gravity","Physicists said the claim is entirely fictional.",26-Nov-15,Fake News
"Congress Approves Funding for Transportation Projects","The measure aims to modernize transit systems nationwide.",03-Nov-16,Factual News
"Experts Claim Earth's Oceans Are Turning Solid","Researchers said the idea contradicts all known data.",02-Nov-17,Fake News
"U.S. Consumer Confidence Rises in June","Economists attributed the gain to strong labor markets.",24-Jun-16,Factual News
"New Report Says Mountains Are Alive and Growing","Geologists said the claim is entirely fictional.",06-Jan-17,Fake News
"Federal Court Blocks Controversial Immigration Rule","The ruling temporarily halts implementation nationwide.",22-Oct-15,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Portals","Scientists said the idea has no scientific basis.",04-Oct-15,Fake News
"U.S. Retail Sales Rise in Late December","Economists attributed the increase to strong holiday demand.",26-Dec-17,Factual News
"New Study Says Volcanoes Are Controlled by Secret Machines","Geologists dismissed the idea as pure fiction.",23-Jun-17,Fake News
"Congress Approves Funding for Renewable Energy Projects","The measure aims to accelerate innovation.",23-Jul-17,Factual News
"Experts Claim Earth's Rotation Is Being Manipulated","Astronomers said the idea is scientifically impossible.",21-Nov-15,Fake News
"U.S. Construction Spending Rises in November","Analysts attributed the increase to commercial development.",15-Nov-16,Factual News
"New Report Says Oceans Are Filled with Invisible Machines","Scientists said the claim has no scientific basis.",03-Sep-17,Fake News
"Federal Agencies Announce New Cybersecurity Standards","Officials said the rules aim to strengthen national defenses.",04-Sep-15,Factual News
"Experts Claim Earth's Core Is Expanding Rapidly","Geophysicists said the idea contradicts all known data.",19-Feb-16,Fake News
"U.S. Jobless Claims Fall in Late May","Analysts attributed the decline to steady hiring.",31-May-16,Factual News
"New Study Says Oceans Are Filled with Hidden Creatures","Scientists said the claim lacks empirical support.",08-Dec-17,Fake News
"Federal Court Upholds Key Healthcare Regulations","Officials praised the ruling as a major victory.",14-Dec-17,Factual News
"Experts Claim Earth's Atmosphere Is Disappearing","Researchers said the claim is exaggerated and misleading.",20-Dec-17,Fake News
"U.S. Retail Sales Increase in May","Economists attributed the rise to strong consumer demand.",12-May-17,Factual News
"New Report Says Humans Can Absorb Light for Strength","Medical experts dismissed the claim as pseudoscience.",01-May-15,Fake News
"Federal Agencies Release Updated Economic Forecast","Officials predicted steady growth through the end of the year.",27-Nov-16,Factual News
"Experts Claim Earth's Oceans Are Heating at Extreme Speed","Scientists said the claim exaggerates normal fluctuations.",24-Jul-15,Fake News
"U.S. Manufacturing Activity Expands in July","Analysts reported gains across multiple industries.",18-Jul-16,Factual News
"New Study Says Humans Are Developing New Senses","Medical experts said the claim is unsupported by evidence.",12-Jul-15,Fake News
"Congress Approves Funding for National Parks","The measure ensures continued operation through the fiscal year.",23-Aug-16,Factual News
"Experts Claim Earth's Rotation Is Speeding Up Rapidly","Astronomers said the claim is unsupported by data.",29-Aug-16,Fake News
"U.S. Housing Starts Increase in September","Builders reported strong demand across several states.",04-Sep-16,Factual News
"New Report Says Oceans Are Filled with Hidden Cities","Scientists said no evidence supports the extraordinary claim.",23-Feb-17,Fake News
"Federal Agencies Announce New Air Quality Standards","Officials said the rules aim to reduce long-term health risks.",01-Mar-17,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Secret Messages","Researchers said the idea is entirely fictional.",07-Mar-17,Fake News
"U.S. Housing Market Shows Early Spring Growth","Realtors reported increased demand across major cities.",13-Mar-17,Factual News
"New Study Says Humans Can Control the Weather","Meteorologists dismissed the claim as pseudoscience.",19-Mar-17,Fake News
"Congress Approves Funding for Clean Water Programs","The measure aims to improve access in rural regions.",25-Mar-17,Factual News
"Experts Claim Earth's Rotation Is Slowing to a Stop","Astronomers said the prediction is physically impossible.",31-Mar-17,Fake News
"U.S. Manufacturing Output Rises in April","Analysts attributed the increase to stronger industrial demand.",13-Apr-16,Factual News
"New Report Says Volcanoes Are Artificially Constructed","Geologists rejected the theory as pure fiction.",12-Apr-17,Fake News
"Federal Court Blocks Controversial Labor Rule","The ruling temporarily halts implementation nationwide.",18-Apr-17,Factual News
"Experts Claim Earth's Oceans Are Evaporating Rapidly","Scientists said the claim misrepresents basic climate science.",24-Apr-17,Fake News
"U.S. Retail Sales Increase in April","Economists attributed the rise to strong consumer spending.",30-Apr-17,Factual News
"New Study Says Humans Can Absorb Radio Signals for Strength","Medical experts dismissed the claim as pseudoscience.",06-May-17,Fake News
"U.S. Manufacturing Ends Year on Positive Note","Officials reported gains across multiple industries.",02-Dec-17,Factual News
"Experts Claim Earth's Atmosphere Contains Hidden Signals","Researchers said the idea has no scientific basis.",13-May-15,Fake News
"U.S. Job Growth Remains Strong in February","Economists reported gains across multiple sectors.",12-Feb-15,Factual News
"New Study Says Oceans Are Draining into Underground Caverns","Scientists said the idea is physically impossible.",25-May-15,Fake News
"Federal Agencies Announce New Water Safety Standards","Officials said the rules aim to reduce contamination risks.",24-Jun-15,Factual News
"Experts Claim Earth's Atmosphere Is Shrinking Faster Than Expected","Researchers said the claim is exaggerated and misleading.",27-Aug-17,Fake News
"U.S. Retail Sales Rise in August","Economists attributed the increase to strong consumer spending.",04-Aug-17,Factual News
"New Report Says Mountains Are Artificially Constructed","Geologists rejected the theory as pure fiction.",05-Aug-15,Fake News
"Federal Court Upholds Key Financial Regulations","Officials praised the ruling as a major victory.",11-Aug-15,Factual News
"Experts Claim Earth's Core Is Expanding","Geophysicists said the idea contradicts all known data.",10-Sep-15,Fake News
"U.S. Job Growth Remains Strong in September","Economists reported gains across multiple sectors.",28-Sep-16,Factual News
"New Study Says Humans Can Communicate Telepathically","Researchers said no evidence supports the claim.",14-Nov-17,Fake News
"Congress Approves Funding for Renewable Energy Research","The measure aims to accelerate innovation.",31-May-15,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Creatures","Researchers said no evidence supports the extraordinary claim.",12-Jul-16,Fake News
"U.S. Manufacturing Activity Expands in July","Analysts reported gains across multiple industries.",18-Jul-16,Factual News
"New Report Says Oceans Are Filled with Hidden Energy Sources","Scientists said the claim lacks empirical support.",01-Dec-17,Fake News
"Federal Court Upholds Key Banking Regulations","Officials praised the ruling as a major policy victory.",08-Oct-17,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Invisible Machines","Scientists said the claim has no scientific basis.",02-Jan-16,Fake News
"U.S. Retail Sales Rise in Early January","Economists attributed the increase to strong consumer demand.",08-Jan-16,Factual News
"New Study Says Humans Can Absorb Sound Waves for Energy","Medical experts dismissed the claim as pseudoscience.",14-Jan-16,Fake News
"Federal Court Upholds Key Labor Protections","Officials praised the ruling as a major victory for workers.",20-Jan-16,Factual News
"Experts Claim Earth's Oceans Are Controlled by Secret Technology","Researchers said the idea is entirely fictional.",26-Jan-16,Fake News
"U.S. Job Growth Remains Strong in January","Analysts reported gains across multiple sectors.",01-Feb-16,Factual News
"New Report Says Volcanoes Are Actually Giant Machines","Geologists rejected the theory as pure fiction.",07-Feb-16,Fake News
"Congress Approves Funding for Rural Broadband Expansion","The measure aims to improve access in underserved regions.",13-Feb-16,Factual News
"Experts Claim Earth's Core Is Expanding Rapidly","Geophysicists said the claim contradicts all known data.",19-Feb-16,Fake News
"U.S. Consumer Spending Rises in February","Economists attributed the increase to strong household confidence.",25-Feb-16,Factual News
"New Study Says Oceans Are Filled with Hidden Portals","Scientists said the claim lacks empirical support.",02-Mar-16,Fake News
"Federal Agencies Announce New Water Quality Rules","Officials said the changes aim to reduce contamination risks.",08-Mar-16,Factual News
"Experts Claim Earth's Atmosphere Is Shrinking at Extreme Speed","Researchers said the claim is exaggerated and misleading.",14-Mar-16,Fake News
"U.S. Housing Market Shows Strong Spring Growth","Realtors reported increased demand across major cities.",20-Mar-16,Factual News
"New Report Says Humans Can Communicate Through Vibrations","Medical experts said the claim has no scientific basis.",26-Mar-16,Fake News
"Congress Approves Funding for Clean Energy Research","The measure aims to accelerate renewable innovation.",01-Apr-16,Factual News
